2024-11-25 18:03:25.081 - MPKMini - INFO - Initializing Akai MPK Mini automation...
2024-11-25 18:03:25.116 - MPKMini - INFO - Pygame MIDI initialized successfully
2024-11-25 18:03:25.117 - MPKMini - INFO - Searching for Akai MPK Mini device...
2024-11-25 18:03:25.117 - MPKMini - INFO - Found Akai MPK Mini: MPK Mini Mk II (ID: 1)
2024-11-25 18:03:25.124 - MPKMini - INFO - Connected to Akai MPK Mini (Device ID: 1)
2024-11-25 18:03:31.313 - MPKMini - INFO - User mapped pad (note 3) to action: Minimize Window
2024-11-25 18:03:32.861 - MPKMini - INFO - User mapped pad (note 2) to action: Maximize Window
2024-11-25 18:03:34.099 - MPKMini - INFO - User mapped pad (note 1) to action: Switch Window (Alt+Tab)
2024-11-25 18:03:35.277 - MPKMini - INFO - User mapped pad (note 0) to action: Open File Explorer
2024-11-25 18:03:36.430 - MPKMini - INFO - User mapped pad (note 15) to action: Previous Track
2024-11-25 18:03:37.468 - MPKMini - INFO - User mapped pad (note 14) to action: Play/Pause
2024-11-25 18:03:38.406 - MPKMini - INFO - User mapped pad (note 13) to action: Next Track
2024-11-25 18:03:39.550 - MPKMini - INFO - User mapped pad (note 12) to action: Show Desktop
2024-11-25 18:03:54.568 - MPKMini - INFO - User mapped knob (CC 1) to action: System Volume (min: 1, max: 66)
2024-11-25 18:04:10.774 - MPKMini - INFO - User mapped knob (CC 1) to action: Spotify Volume (min: 1, max: 127)
2024-11-25 18:04:28.511 - MPKMini - INFO - User mapped knob (CC 3) to action: Firefox Volume (min: 1, max: 127)
2024-11-25 18:04:38.687 - MPKMini - INFO - User mapped knob (CC 3) to action: Screen Brightness (min: 1, max: 127)
2024-11-25 18:04:43.374 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:43.424 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:43.470 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:43.517 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:43.559 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:43.608 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:43.652 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
2024-11-25 18:04:43.709 - MPKMini - ERROR - Error executing knob action Screen Brightness: string indices must be integers, not 'str'
